Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:05 2024
Gene	RNA ID	Monomer ID	Process
mtlA	EG10615_RNA	MTLA-MONOMER	Metabolism
mtlD	EG10616_RNA	MANNPDEHYDROG-MONOMER	Metabolism
mtn	EG11090_RNA	EG11090-MONOMER	Metabolism
mtr	EG10617_RNA	MTR-MONOMER	Metabolism
murA	EG11358_RNA	UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER	Metabolism
murB	EG11205_RNA	UDPNACETYLMURAMATEDEHYDROG-MONOMER	Metabolism
murC	EG10619_RNA	UDP-NACMUR-ALA-LIG-MONOMER	Metabolism
murD	EG10620_RNA	UDP-NACMURALA-GLU-LIG-MONOMER	Metabolism
murE	EG10621_RNA	UDP-NACMURALGLDAPLIG-MONOMER	Metabolism
murF	EG10622_RNA	UDP-NACMURALGLDAPAALIG-MONOMER	Metabolism
murG	EG10623_RNA	NACGLCTRANS-MONOMER	Metabolism
murI	EG11204_RNA	GLUTRACE-MONOMER	Metabolism
murJ	G6561_RNA	G6561-MONOMER	Metabolism
murP	G7264_RNA	MONOMER0-5	Metabolism
murQ	G7263_RNA	G7263-MONOMER	Metabolism
mutM	EG10329_RNA	EG10329-MONOMER	Metabolism
mutT	EG10626_RNA	EG10626-MONOMER	Metabolism
nadA	EG10630_RNA	QUINOLINATE-SYNTHA-MONOMER	Metabolism
nadB	EG10631_RNA	L-ASPARTATE-OXID-MONOMER	Metabolism
nadC	EG11546_RNA	QUINOPRIBOTRANS-MONOMER	Metabolism
nadD	G6350_RNA	NICONUCADENYLYLTRAN-MONOMER	Metabolism
nadE	EG10663_RNA	NAD-SYNTH-MONOMER	Metabolism
nadK	EG12192_RNA	MONOMER0-541	Metabolism
nadR	EG11335_RNA	PD04413	Metabolism
nagA	EG10632_RNA	NAG6PDEACET-MONOMER	Metabolism
nagB	EG10633_RNA	GLUCOSAMINE-6-P-DEAMIN-MONOMER	Metabolism
nagE	EG10635_RNA	NAGE-MONOMER	Metabolism
nagK	G6576_RNA	G6576-MONOMER	Metabolism
nagZ	G6567_RNA	G6567-MONOMER	Metabolism
nanA	EG10637_RNA	ACNEULY-MONOMER	Metabolism
nanC	G7921_RNA	G7921-MONOMER	Metabolism
nanE	G7677_RNA	NANE-MONOMER	Metabolism
nanK	G7676_RNA	NANK-MONOMER	Metabolism
nanM	G7920_RNA	G7920-MONOMER	Metabolism
nanQ	G7675_RNA	G7675-MONOMER	Metabolism
nanS	G7919_RNA	G7919-MONOMER	Metabolism
nanT	G436_RNA	NANT-MONOMER	Metabolism
nanX	EG12544_RNA	YJHB-MONOMER	Metabolism
nanY	G7901_RNA	G7901-MONOMER	Metabolism
napC	EG12060_RNA	NAPC-MONOMER	Metabolism
napG	EG12064_RNA	NAPG-MONOMER	Metabolism
napH	EG12062_RNA	NAPH-MONOMER	Metabolism
narG	EG10638_RNA	NARG-MONOMER	Metabolism
narH	EG10639_RNA	NARH-MONOMER	Metabolism
narI	EG10640_RNA	NARI-MONOMER	Metabolism
narK	EG10642_RNA	NARK-MONOMER	Metabolism
narL	EG10643_RNA	NARL-MONOMER	Transcription Regulation
narU	EG12153_RNA	NARU-MONOMER	Metabolism
narV	EG10644_RNA	NARV-MONOMER	Metabolism
narX	EG10646_RNA	NARX-MONOMER	Metabolism
narY	EG10647_RNA	NARY-MONOMER	Metabolism
narZ	EG10648_RNA	NARZ-MONOMER	Metabolism
ndh	EG10649_RNA	NADH-DHII-MONOMER	Metabolism
ndk	EG10650_RNA	NUCLEOSIDE-DIP-KIN-MONOMER	Metabolism
nepI	EG11689_RNA	YICM-MONOMER	Metabolism
nfeF	G7593_RNA	G7593-MONOMER	Metabolism
nfi	EG11915_RNA	EG11915-MONOMER	Metabolism
nfo	EG10651_RNA	EG10651-MONOMER	Metabolism
nfsA	EG11261_RNA	EG11261-MONOMER	Metabolism
nfsB	EG50005_RNA	DIHYDROPTERIREDUCT-MONOMER	Metabolism
nhaA	EG10652_RNA	NHAA-MONOMER	Metabolism
nhaB	EG11392_RNA	NHAB-MONOMER	Metabolism
nhoA	G6770_RNA	G6770-MONOMER	Metabolism
nikA	EG12075_RNA	NIKA-MONOMER	Metabolism
nikB	EG12076_RNA	NIKB-MONOMER	Metabolism
nikC	EG12077_RNA	NIKC-MONOMER	Metabolism
nikD	EG12078_RNA	NIKD-MONOMER	Metabolism
nikE	EG12079_RNA	NIKE-MONOMER	Metabolism
nimT	G6977_RNA	B1791-MONOMER	Metabolism
nirB	EG10653_RNA	NIRB-MONOMER	Metabolism
nirC	EG10654_RNA	NIRC-MONOMER	Metabolism
nirD	EG10655_RNA	NIRD-MONOMER	Metabolism
nnr	EG11758_RNA	EG11758-MONOMER	Metabolism
norV	G7413_RNA	G7413-MONOMER	Metabolism
norW	EG12450_RNA	EG12450-MONOMER	Metabolism
nrdA	EG10660_RNA	NRDA-MONOMER	Metabolism
nrdB	EG10661_RNA	NRDB-MONOMER	Metabolism
nrdD	EG11417_RNA	RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER	Metabolism
nrdE	EG20257_RNA	NRDE-MONOMER	Metabolism
nrdF	EG12381_RNA	NRDF-MONOMER	Metabolism
nrdG	G812_RNA	RNTRACTIV-MONOMER	Metabolism
nrfC	EG11946_RNA	NRFC-MONOMER	Metabolism
nrfD	EG11947_RNA	NRFD-MONOMER	Metabolism
nth	EG10662_RNA	EG10662-MONOMER	Metabolism
nudB	EG11138_RNA	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	Metabolism
nudC	EG11702_RNA	EG11702-MONOMER	Metabolism
nudE	G7740_RNA	G7740-MONOMER	Metabolism
nudF	EG12633_RNA	EG12633-MONOMER	Metabolism
nudG	G6954_RNA	G6954-MONOMER	Metabolism
nudI	G7164_RNA	G7164-MONOMER	Metabolism
nudJ	G6580_RNA	G6580-MONOMER	Metabolism
nudK	EG12410_RNA	EG12410-MONOMER	Metabolism
nudL	EG12693_RNA	EG12693-MONOMER	Metabolism
nuoA	EG12082_RNA	NUOA-MONOMER	Metabolism
nuoB	EG12083_RNA	NUOB-MONOMER	Metabolism
nuoC	EG12084_RNA	NUOC-MONOMER	Metabolism
nuoE	EG12086_RNA	NUOE-MONOMER	Metabolism
nuoF	EG11774_RNA	NUOF-MONOMER	Metabolism
nuoG	EG12087_RNA	NUOG-MONOMER	Metabolism
nuoH	EG12088_RNA	NUOH-MONOMER	Metabolism
nuoI	EG12089_RNA	NUOI-MONOMER	Metabolism
nuoJ	EG12090_RNA	NUOJ-MONOMER	Metabolism
nuoK	EG12091_RNA	NUOK-MONOMER	Metabolism
nuoL	EG12092_RNA	NUOL-MONOMER	Metabolism
nuoM	EG11773_RNA	NUOM-MONOMER	Metabolism
nuoN	EG12093_RNA	NUON-MONOMER	Metabolism
nupC	EG11971_RNA	NUPC-MONOMER	Metabolism
nupG	EG10664_RNA	NUPG-MONOMER	Metabolism
ogt	EG10668_RNA	EG10668-MONOMER	Metabolism
ompC	EG10670_RNA	EG10670-MONOMER	Metabolism
ompF	EG10671_RNA	EG10671-MONOMER	Metabolism
opgB	EG12591_RNA	PGLYCEROLTRANSI-MONOMER	Metabolism
opgE	G6418_RNA	G6418-MONOMER	Metabolism
oppA	EG10674_RNA	OPPA-MONOMER	Metabolism
oppB	EG10675_RNA	OPPB-MONOMER	Metabolism
oppC	EG10676_RNA	OPPC-MONOMER	Metabolism
oppD	EG10677_RNA	OPPD-MONOMER	Metabolism
oppF	EG10678_RNA	OPPF-MONOMER	Metabolism
orn	G7842_RNA	G7842-MONOMER	RNA Decay
osmC	EG10680_RNA	EG10680-MONOMER	Metabolism
osmF	EG12012_RNA	YEHZ-MONOMER	Metabolism
otsA	EG11751_RNA	TREHALOSE6PSYN-MONOMER	Metabolism
otsB	EG11752_RNA	TREHALOSEPHOSPHASYN-MONOMER	Metabolism
oxc	G7236_RNA	G7236-MONOMER	Metabolism
paaA	G6709_RNA	G6709-MONOMER	Metabolism
paaB	G6710_RNA	G6710-MONOMER	Metabolism
paaC	G6711_RNA	G6711-MONOMER	Metabolism
paaE	G6713_RNA	G6713-MONOMER	Metabolism
paaF	G6714_RNA	G6714-MONOMER	Metabolism
paaG	G6715_RNA	G6715-MONOMER	Metabolism
paaH	G6716_RNA	G6716-MONOMER	Metabolism
paaI	G6717_RNA	G6717-MONOMER	Metabolism
paaJ	G6718_RNA	G6718-MONOMER	Metabolism
paaK	G6719_RNA	G6719-MONOMER	Metabolism
paaY	G6721_RNA	G6721-MONOMER	Metabolism
paaZ	G6708_RNA	G6708-MONOMER	Metabolism
pabA	EG10682_RNA	PABASYN-COMPII-MONOMER	Metabolism
pabB	EG10683_RNA	PABASYN-COMPI-MONOMER	Metabolism
pabC	EG11493_RNA	ADCLY-MONOMER	Metabolism
pagP	EG12180_RNA	EG12180-MONOMER	Metabolism
panB	EG11675_RNA	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	Metabolism
panC	EG11746_RNA	PANTOATE-BETA-ALANINE-LIG-MONOMER	Metabolism
panE	G6239_RNA	2-DEHYDROPANTOATE-REDUCT-MONOMER	Metabolism
panF	EG10685_RNA	PANF-MONOMER	Metabolism
paoA	G6157_RNA	G6157-MONOMER	Metabolism
paoB	G6156_RNA	G6156-MONOMER	Metabolism
paoC	G6155_RNA	G6155-MONOMER	Metabolism
patA	G7596_RNA	G7596-MONOMER	Metabolism
patD	G6755_RNA	G6755-MONOMER	Metabolism
patZ	G7350_RNA	G7350-MONOMER	Metabolism
pbpG	EG12015_RNA	EG12015-MONOMER	Metabolism
pck	EG10688_RNA	PEPCARBOXYKIN-MONOMER	Metabolism
pcm	EG10689_RNA	EG10689-MONOMER	Metabolism
pdeC	EG11938_RNA	EG11938-MONOMER	Metabolism
pdeF	G7314_RNA	G7314-MONOMER	Metabolism
pdeH	EG12252_RNA	EG12252-MONOMER	Metabolism
pdeK	EG12256_RNA	EG12256-MONOMER	Metabolism
pdeL	EG11236_RNA	EG11236-MONOMER	Metabolism
pdeR	G6639_RNA	G6639-MONOMER	Metabolism
pdxA	EG10691_RNA	PDXA-MONOMER	Metabolism
pdxB	G0-9461_RNA	ERYTHRON4PDEHYDROG-MONOMER	Metabolism
pdxH	EG11487_RNA	PDXH-MONOMER	Metabolism
pdxI	EG11309_RNA	EG11309-MONOMER	Metabolism
pdxJ	EG10693_RNA	PDXJ-MONOMER	Metabolism
pdxK	G7259_RNA	PDXK-MONOMER	Metabolism
pdxY	G6879_RNA	PDXY-MONOMER	Metabolism
pepA	EG10694_RNA	EG10694-MONOMER	Metabolism
pepB	EG12310_RNA	EG12310-MONOMER	Metabolism
pepD	EG10695_RNA	EG10695-MONOMER	Metabolism
pepE	EG11920_RNA	EG11920-MONOMER	Metabolism
pepN	EG10696_RNA	EG10696-MONOMER	Metabolism
pepP	EG10697_RNA	EG10697-MONOMER	Metabolism
pepQ	EG10698_RNA	EG10698-MONOMER	Metabolism
pepT	EG11549_RNA	EG11549-MONOMER	Metabolism
pfkA	EG10699_RNA	6PFK-1-MONOMER	Metabolism
pfkB	EG10700_RNA	6PFK-2-MONOMER	Metabolism
pflA	EG10028_RNA	PFLACTENZ-MONOMER	Metabolism
pgaB	G6530_RNA	G6530-MONOMER	Metabolism
pgaC	G6529_RNA	G6529-MONOMER	Metabolism
pgaD	G6528_RNA	G6528-MONOMER	Metabolism
pgi	EG10702_RNA	PGLUCISOM	Metabolism
pgk	EG10703_RNA	PGK	Metabolism
pgl	G6397_RNA	6PGLUCONOLACT-MONOMER	Metabolism
pgm	EG12144_RNA	PHOSPHOGLUCMUT-MONOMER	Metabolism
pgpA	EG10704_RNA	PGPPHOSPHAA-MONOMER	Metabolism
pgpB	EG10705_RNA	PGPPHOSPHAB-MONOMER	Metabolism
pgpC	EG11371_RNA	EG11371-MONOMER	Metabolism
pgsA	EG10706_RNA	PHOSPHAGLYPSYN-MONOMER	Metabolism
pheA	EG10707_RNA	CHORISMUTPREPHENDEHYDRAT-MONOMER	Metabolism
pheP	EG10708_RNA	PHEP-MONOMER	Metabolism
pheS	EG10709_RNA	PHES-MONOMER	Metabolism
pheT	EG10710_RNA	PHET-MONOMER	Metabolism
phnC	EG10713_RNA	PHNC-MONOMER	Metabolism
phnD	EG10714_RNA	PHND-MONOMER	Metabolism
phnG	EG10716_RNA	EG10716-MONOMER	Metabolism
phnH	EG10717_RNA	EG10717-MONOMER	Metabolism
phnI	EG10718_RNA	EG10718-MONOMER	Metabolism
phnJ	EG10719_RNA	EG10719-MONOMER	Metabolism
phnK	EG10720_RNA	PHNK-MONOMER	Metabolism
phnL	EG10721_RNA	PHNL-MONOMER	Metabolism
phnM	EG10722_RNA	EG10722-MONOMER	Metabolism
phnN	EG10723_RNA	EG10723-MONOMER	Metabolism
phnO	EG10724_RNA	EG10724-MONOMER	Metabolism
phnP	EG10725_RNA	EG10725-MONOMER	Metabolism
phoA	EG10727_RNA	ALKAPHOSPHA-MONOMER	Metabolism
phoE	EG10729_RNA	MONOMER0-282	Metabolism
phoR	EG10733_RNA	PHOR-MONOMER	Metabolism
phr	EG10736_RNA	EG10736-MONOMER	Metabolism
pitA	EG12230_RNA	PITA-MONOMER	Metabolism
pitB	EG12883_RNA	PITB-MONOMER	Metabolism
plaP	EG11896_RNA	YEEF-MONOMER	Metabolism
pldA	EG10738_RNA	MONOMER0-341	Metabolism
pldB	EG10739_RNA	EG10739-MONOMER	Metabolism
plsB	EG10740_RNA	GLYCEROL-3-P-ACYLTRANSFER-MONOMER	Metabolism
plsC	EG11377_RNA	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	Metabolism
plsX	EG11437_RNA	EG11437-MONOMER	Metabolism
pncA	EG11135_RNA	NICOTINAMID-MONOMER	Metabolism
pncB	EG10742_RNA	NICOTINATEPRIBOSYLTRANS-MONOMER	Metabolism
pncC	G7409_RNA	G7409-MONOMER	Metabolism
pnp	EG10743_RNA	EG10743-MONOMER	Metabolism, RNA Decay
pntA	EG10744_RNA	PNTA-MONOMER	Metabolism
pntB	EG10745_RNA	PNTB-MONOMER	Metabolism
pnuC	EG11700_RNA	PNUC-MONOMER	Metabolism
polA	EG10746_RNA	EG10746-MONOMER	RNA Decay
potA	EG10749_RNA	POTA-MONOMER	Metabolism
potB	EG10750_RNA	POTB-MONOMER	Metabolism
potC	EG10751_RNA	POTC-MONOMER	Metabolism
potD	EG10752_RNA	POTD-MONOMER	Metabolism
potE	EG10753_RNA	POTE-MONOMER	Metabolism
potF	EG11629_RNA	POTF-MONOMER	Metabolism
potG	EG11630_RNA	POTG-MONOMER	Metabolism
potH	EG11631_RNA	POTH-MONOMER	Metabolism
potI	EG11632_RNA	POTI-MONOMER	Metabolism
poxB	EG10754_RNA	PYRUVOXID-MONOMER	Metabolism
ppa	EG10755_RNA	INORGPYROPHOSPHAT-MONOMER	Metabolism
ppc	EG10756_RNA	PEPCARBOX-MONOMER	Metabolism
pphA	G7011_RNA	G7011-MONOMER	Metabolism
pphB	G7415_RNA	G7415-MONOMER	Metabolism
pphC	G7111_RNA	G7111-MONOMER	Metabolism
ppiA	EG10757_RNA	EG10757-MONOMER	Metabolism
ppiB	EG10758_RNA	EG10758-MONOMER	Metabolism
ppiC	EG12352_RNA	EG12352-MONOMER	Metabolism
ppk	EG11510_RNA	PPK-MONOMER	Metabolism
ppnN	EG12373_RNA	EG12373-MONOMER	Metabolism
ppnP	EG12159_RNA	EG12159-MONOMER	Metabolism
ppsA	EG10759_RNA	PEPSYNTH-MONOMER	Metabolism
pptA	EG11761_RNA	EG11761-MONOMER	Metabolism
pqqU	G6762_RNA	G6762-MONOMER	Metabolism
prc	EG10760_RNA	EG10760-MONOMER	Metabolism
preA	EG11289_RNA	EG11289-MONOMER	Metabolism
preT	G7145_RNA	G7145-MONOMER	Metabolism
prmA	EG11497_RNA	EG11497-MONOMER	Metabolism
prmB	EG12449_RNA	EG12449-MONOMER	Metabolism
prmC	EG12424_RNA	EG12424-MONOMER	Metabolism
proA	EG10767_RNA	GLUTSEMIALDEHYDROG-MONOMER	Metabolism
proB	EG10768_RNA	GLUTKIN-MONOMER	Metabolism
proC	EG10769_RNA	PYRROLINECARBREDUCT-MONOMER	Metabolism
proP	EG11612_RNA	PROP-MONOMER	Metabolism
proS	EG10770_RNA	PROS-MONOMER	Metabolism
proV	EG10771_RNA	PROV-MONOMER	Metabolism
proW	EG10772_RNA	PROW-MONOMER	Metabolism
proX	EG10773_RNA	PROX-MONOMER	Metabolism
prpB	G6196_RNA	G6196-MONOMER	Metabolism
prpC	G6198_RNA	G6198-MONOMER	Metabolism
prpD	G6199_RNA	G6199-MONOMER	Metabolism
prpE	G6200_RNA	G6200-MONOMER	Metabolism
prs	EG10774_RNA	PRPPSYN-MONOMER	Metabolism
pspE	EG10780_RNA	EG10780-MONOMER	Metabolism
pssA	EG10781_RNA	PHOSPHASERSYN-MONOMER	Metabolism
pstA	EG10782_RNA	PSTA-MONOMER	Metabolism
pstB	EG10783_RNA	PSTB-MONOMER	Metabolism
pstC	EG10784_RNA	PSTC-MONOMER	Metabolism
pstS	EG10734_RNA	PSTS-MONOMER	Metabolism
psuG	EG12033_RNA	EG12033-MONOMER	Metabolism
psuK	EG11646_RNA	EG11646-MONOMER	Metabolism
psuT	EG12032_RNA	YEIM-MONOMER	Metabolism
pta	EG20173_RNA	PHOSACETYLTRANS-MONOMER	Metabolism
pth	EG10785_RNA	EG10785-MONOMER	Metabolism
ptrA	EG10786_RNA	EG10786-MONOMER	Metabolism
ptsG	EG10787_RNA	PTSG-MONOMER	Metabolism
ptsI	EG10789_RNA	PTSI-MONOMER	Metabolism
punC	EG12141_RNA	YDHC-MONOMER	Metabolism
purA	EG10790_RNA	ADENYLOSUCCINATE-SYN-MONOMER	Metabolism
purB	EG11314_RNA	ASL-MONOMER	Metabolism
purC	EG10791_RNA	SAICARSYN-MONOMER	Metabolism
purD	EG10792_RNA	GLYCRIBONUCSYN-MONOMER	Metabolism
purE	EG10793_RNA	PURE-MONOMER	Metabolism
purF	EG10794_RNA	PRPPAMIDOTRANS-MONOMER	Metabolism
purH	EG10795_RNA	AICARTRANSIMPCYCLO-CPLX	Metabolism
purK	EG10796_RNA	PURK-MONOMER	Metabolism
purL	EG10797_RNA	FGAMSYN-MONOMER	Metabolism
purM	EG10798_RNA	AIRS-MONOMER	Metabolism
purN	EG10799_RNA	GART-MONOMER	Metabolism
purT	EG11809_RNA	GARTRANSFORMYL2-MONOMER	Metabolism
purU	EG11819_RNA	FORMYLTHFDEFORMYL-MONOMER	Metabolism
putA	EG10801_RNA	PUTA-MONOMER	Metabolism, Transcription Regulation
putP	EG10802_RNA	PUTP-MONOMER	Metabolism
puuA	G6644_RNA	G6644-MONOMER	Metabolism
puuB	EG11822_RNA	EG11822-MONOMER	Metabolism
puuC	EG10036_RNA	ALDHDEHYDROG-MONOMER	Metabolism
puuD	G6645_RNA	G6645-MONOMER	Metabolism
puuE	G6646_RNA	G6646-MONOMER	Metabolism
puuP	G6643_RNA	B1296-MONOMER	Metabolism
pxpA	G6382_RNA	G6382-MONOMER	Metabolism
pxpB	G6380_RNA	G6380-MONOMER	Metabolism
pxpC	G6381_RNA	G6381-MONOMER	Metabolism
pykA	EG10803_RNA	PKII-MONOMER	Metabolism
pykF	EG10804_RNA	PKI-MONOMER	Metabolism
pyrB	EG10805_RNA	ASPCARBCAT-MONOMER	Metabolism
pyrC	EG10806_RNA	DIHYDROOROT-MONOMER	Metabolism
pyrD	EG10807_RNA	DIHYDROOROTOX-MONOMER	Metabolism
pyrE	EG10808_RNA	OROPRIBTRANS-MONOMER	Metabolism
pyrF	EG10809_RNA	OROTPDECARB-MONOMER	Metabolism
pyrG	EG10810_RNA	CTPSYN-MONOMER	Metabolism
pyrH	EG11539_RNA	UMPKI-MONOMER	Metabolism
pyrI	EG10811_RNA	ASPCARBREG-MONOMER	Metabolism
qorA	EG11492_RNA	QOR-MONOMER	Metabolism
qorB	G7868_RNA	G7868-MONOMER	Metabolism
queA	EG10812_RNA	EG10812-MONOMER	Metabolism
queC	G6245_RNA	G6245-MONOMER	Metabolism
queD	G7431_RNA	G7431-MONOMER	Metabolism
queE	G7443_RNA	G7443-MONOMER	Metabolism
queF	G7452_RNA	G7452-MONOMER	Metabolism
queG	G7843_RNA	G7843-MONOMER	Metabolism
radD	EG12045_RNA	EG12045-MONOMER	Metabolism
ravA	EG11731_RNA	EG11731-MONOMER	Metabolism
rbn	G7175_RNA	G7175-MONOMER	RNA Decay
rbsA	EG10814_RNA	RBSA-MONOMER	Metabolism
rbsB	EG10815_RNA	RBSB-MONOMER	Metabolism
rbsC	EG10816_RNA	RBSC-MONOMER	Metabolism
rbsD	EG10817_RNA	EG10817-MONOMER	Metabolism
rbsK	EG10818_RNA	RIBOKIN-MONOMER	Metabolism
rclA	G6174_RNA	G6174-MONOMER	Metabolism
rcnA	G7138_RNA	G7138-MONOMER	Metabolism
rcsB	EG10821_RNA	RCSB-MONOMER	Transcription Regulation
rdgB	G7530_RNA	G7530-MONOMER	Metabolism
relA	EG10835_RNA	RELA-MONOMER	Metabolism
rfaD	EG10838_RNA	EG10838-MONOMER	Metabolism
rfbA	EG11978_RNA	DTDPGLUCOSEPP-MONOMER	Metabolism
rfbB	EG12412_RNA	DTDPGLUCDEHYDRAT-MONOMER	Metabolism
rfbC	EG11979_RNA	DTDPDEHYDRHAMEPIM-MONOMER	Metabolism
rfbD	EG12411_RNA	DTDPDEHYRHAMREDUCT-MONOMER	Metabolism
rfe	EG10840_RNA	GLCNACPTRANS-MONOMER	Metabolism
rffC	EG11455_RNA	TDPFUCACTRANS-MONOMER	Metabolism
rffG	EG11453_RNA	DTDPGLUCDEHYDRAT2-MONOMER	Metabolism
rffH	EG11454_RNA	DTDPGLUCOSEPP2-MONOMER	Metabolism
rffM	EG11458_RNA	UDPMANACATRANS-MONOMER	Metabolism
rhaA	EG11867_RNA	RHAMNISOM-MONOMER	Metabolism
rhaB	EG11868_RNA	RHAMNULOKIN-MONOMER	Metabolism
rhaD	EG11866_RNA	RHAMNULPALDOL-MONOMER	Metabolism
rhaM	EG11865_RNA	EG11865-MONOMER	Metabolism
rhaT	EG11313_RNA	RHAT-MONOMER	Metabolism
rhlB	EG10844_RNA	EG10844-MONOMER	Metabolism
rhmD	G7160_RNA	G7160-MONOMER	Metabolism
rhtA	EG12134_RNA	EG12134-MONOMER	Metabolism
rhtB	EG11469_RNA	RHTB-MONOMER	Metabolism
rhtC	EG11468_RNA	RHTC-MONOMER	Metabolism
ribA	EG11331_RNA	GTP-CYCLOHYDRO-II-MONOMER	Metabolism
ribB	EG10465_RNA	DIOHBUTANONEPSYN-MONOMER	Metabolism
ribC	EG11406_RNA	RIBOFLAVIN-SYN-MONOMER	Metabolism
ribD	EG11321_RNA	RIBOFLAVINSYNDEAM-MONOMER	Metabolism
ribE	EG11322_RNA	LUMAZINESYN-MONOMER	Metabolism
ribF	EG11079_RNA	RIBF-MONOMER	Metabolism
ridA	G7877_RNA	G7877-MONOMER	Metabolism
rihA	G6358_RNA	G6358-MONOMER	Metabolism
rihB	EG12030_RNA	EG12030-MONOMER	Metabolism
rihC	EG11082_RNA	EG11082-MONOMER	Metabolism
rimI	EG10850_RNA	EG10850-MONOMER	Metabolism
rimJ	EG10851_RNA	EG10851-MONOMER	Metabolism
rimK	EG10852_RNA	EG10852-MONOMER	Metabolism
rimL	EG10853_RNA	EG10853-MONOMER	Metabolism
rimO	G6435_RNA	G6435-MONOMER	Metabolism
rlhA	G6746_RNA	G6746-MONOMER	Metabolism
rlmA	EG12207_RNA	EG12207-MONOMER	Metabolism
rlmB	G7845_RNA	G7845-MONOMER	Metabolism
rlmC	G6449_RNA	G6449-MONOMER	Metabolism
rlmD	EG11247_RNA	EG11247-MONOMER	Metabolism
rlmE	EG11507_RNA	EG11507-MONOMER	Metabolism
rlmF	G6416_RNA	G6416-MONOMER	Metabolism
rlmG	G7603_RNA	G7603-MONOMER	Metabolism
rlmH	EG11254_RNA	EG11254-MONOMER	Metabolism
rlmI	G6501_RNA	G6501-MONOMER	Metabolism
rlmJ	EG12234_RNA	EG12234-MONOMER	Metabolism
rlmL	G6488_RNA	G6488-MONOMER	Metabolism
rlmM	EG11794_RNA	EG11794-MONOMER	Metabolism
rlmN	EG12401_RNA	EG12401-MONOMER	Metabolism
rluA	EG12609_RNA	EG12609-MONOMER	Metabolism
rluB	EG12433_RNA	EG12433-MONOMER	Metabolism
rluC	EG11118_RNA	EG11118-MONOMER	Metabolism
rluD	EG12098_RNA	EG12098-MONOMER	Metabolism
rluE	G6581_RNA	G6581-MONOMER	Metabolism
rluF	EG11921_RNA	EG11921-MONOMER	Metabolism
rna	EG10856_RNA	EG10856-MONOMER	RNA Decay
rnb	EG11620_RNA	EG11620-MONOMER	RNA Decay
rnd	EG10858_RNA	EG10858-MONOMER	RNA Decay
rne	EG10859_RNA	EG10859-MONOMER	Metabolism
rnhA	EG10860_RNA	EG10860-MONOMER	RNA Decay
rnhB	EG10861_RNA	EG10861-MONOMER	RNA Decay
rnm	G6634_RNA	G6634-MONOMER	Metabolism
rnpA	EG10862_RNA	EG10862-MONOMER	RNA Decay
rnr	EG11259_RNA	EG11259-MONOMER	RNA Decay
roxA	EG11430_RNA	EG11430-MONOMER	Metabolism
rpe	M004_RNA	RIBULP3EPIM-MONOMER	Metabolism
rph	EG10863_RNA	EG10863-MONOMER	RNA Decay
rpiA	EG11443_RNA	RIB5PISOMA-MONOMER	Metabolism
rpiB	EG11827_RNA	RIB5PISOMB-MONOMER	Metabolism
rplA	EG10864_RNA	EG10864-MONOMER	Translation
rplB	EG10865_RNA	EG10865-MONOMER	Translation
rplC	EG10866_RNA	EG10866-MONOMER	Translation
rplD	EG10867_RNA	EG10867-MONOMER	Translation
rplE	EG10868_RNA	EG10868-MONOMER	Translation
rplF	EG10869_RNA	EG10869-MONOMER	Translation
rplI	EG10870_RNA	EG10870-MONOMER	Translation
rplJ	EG10871_RNA	EG10871-MONOMER	Translation
rplK	EG10872_RNA	EG10872-MONOMER	Translation
rplL	EG10873_RNA	EG10873-MONOMER	Translation
rplM	EG10874_RNA	EG10874-MONOMER	Translation
rplN	EG10875_RNA	EG10875-MONOMER	Translation
rplO	EG10876_RNA	EG10876-MONOMER	Translation
rplP	EG10877_RNA	EG10877-MONOMER	Translation
rplQ	EG10878_RNA	EG10878-MONOMER	Translation
rplR	EG10879_RNA	EG10879-MONOMER	Translation
rplS	EG10880_RNA	EG10880-MONOMER	Translation
rplT	EG10881_RNA	EG10881-MONOMER	Translation
rplU	EG50001_RNA	EG50001-MONOMER	Translation
rplV	EG10882_RNA	EG10882-MONOMER	Translation
rplW	EG10883_RNA	EG10883-MONOMER	Translation
rplX	EG10884_RNA	EG10884-MONOMER	Translation
rplY	EG10885_RNA	EG10885-MONOMER	Translation
rpmA	EG50002_RNA	EG50002-MONOMER	Translation
rpmB	EG10886_RNA	EG10886-MONOMER	Translation
rpmC	EG10887_RNA	EG10887-MONOMER	Translation
rpmD	EG10888_RNA	EG10888-MONOMER	Translation
rpmE	EG10889_RNA	EG10889-MONOMER	Translation
rpmF	EG10890_RNA	EG10890-MONOMER	Translation
rpmG	EG10891_RNA	EG10891-MONOMER	Translation
rpmH	EG10892_RNA	EG10892-MONOMER	Translation
rpmI	EG11231_RNA	EG11231-MONOMER	Translation
rpmJ	EG11232_RNA	EG11232-MONOMER	Translation
rpoA	EG10893_RNA	EG10893-MONOMER	Transcription
rpoB	EG10894_RNA	RPOB-MONOMER	Transcription
rpoC	EG10895_RNA	RPOC-MONOMER	Transcription
