Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
Reaction ID	Enzyme	Adjusted kcat (1/s)	Saturation
2.9.1.1-RXN	CPLX0-1141[c]	[0.049853508606871315]	[]
3-DEHYDROQUINATE-SYNTHASE-RXN	AROB-MONOMER[c]	[487.35143781374126, 36.758347359905116]	[]
3-ISOPROPYLMALDEHYDROG-RXN	3-ISOPROPYLMALDEHYDROG-CPLX[c]	[56.045415348580256]	[]
3-ISOPROPYLMALDEHYDROG-RXN	G6986-MONOMER[c]	[0.2343344644193951]	[]
3.1.3.68-RXN[CCO-CYTOSOL]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.71.	G6932-MONOMER[c]	[75.81409142980431]	[]
3.1.3.74-RXN[CCO-CYTOSOL]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.53.	EG11239-MONOMER[c]	[2.2973967099940698]	[]
3.1.3.74-RXN[CCO-CYTOSOL]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.53.	EG11470-MONOMER[c]	[27.568760519928837]	[]
3.1.3.74-RXN[CCO-CYTOSOL]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.53.	G6246-MONOMER[c]	[1.3324900917965603]	[]
3.4.11.18-RXN	EG10570-MONOMER[c]	[2.6649801835931206, 63.355686915786364, 46.40741354188021, 63.63961030678928, 29.728437706638218, 6.3355686915786364, 42.04235979289148, 136.45840258784756, 29.728437706638218]	[]
3.5.1.88-RXN	EG11440-MONOMER[c]	[3411.460064696189, 5.6, 2366.318611293892, 270.0, 3032.5636571921723, 236.6318611293892, 147.03338943962046]	[]
3.6.1.41-RXN	EG10048-MONOMER[c]	[250.0]	[]
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EG10043-MONOMER[c]	[11.4]	[]
4-NITROPHENYLPHOSPHATASE-RXN	ALKAPHOSPHA-CPLX[p]	[184.94043515452262, 184.94043515452262, 171.615534236557]	[]
4.3.1.15-RXN	CPLX0-1401[c]	[134.6274472056525]	[]
5-NUCLEOTID-RXN[CCO-CYTOSOL]-XANTHOSINE-5-PHOSPHATE/WATER//XANTHOSINE/Pi.57.	EG11817-MONOMER[c]	[1723.0475324955523]	[]
6PFRUCTPHOS-RXN	6PFK-1-CPX[c]	[179.83268055327054, 142.95642175869745, 439.8102257540852, 185.0]	[]
6PFRUCTPHOS-RXN	6PFK-2-CPX[c]	[142.4385960196323]	[]
7-ALPHA-HYDROXYSTEROID-DEH-RXN	7-ALPHA-HYDROXYSTEROID-DEH-CPLX[c]	[3798.0, 346.90690320910454]	[]
ACETALD-DEHYDROG-RXN	MHPF-MONOMER[c]	[40.20444242489622]	[]
ACETOLACTSYN-RXN	ACETOLACTSYNII-CPLX[c]	[23.3, 47.0, 40.3, 40.3]	[]
ACETOLACTSYN-RXN	ACETOLACTSYNI-CPLX[c]	[71.3]	[]
ACETOOHBUTSYN-RXN	ACETOLACTSYNII-CPLX[c]	[66.7]	[]
ACETYLORNDEACET-RXN	ACETYLORNDEACET-CPLX[c]	[8730.107497977466, 8730.107497977466, 8730.107497977466]	[]
ADENINE-DEAMINASE-RXN	CPLX0-1683[c]	[324.9009585424942, 324.9009585424942]	[]
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	CPLX0-1541[c]	[7.353910524340095, 4.824533090987547, 1.0338285194973313]	[]
ADENPHOSPHOR-RXN	DEOD-CPLX[c]	[7.627357077180311]	[]
ADENYLATECYC-RXN	ADENYLATECYC-MONOMER[c]	[1.67]	[]
ADENYLOSUCCINATE-SYNTHASE-RXN	ADENYLOSUCCINATE-SYN-DIMER[c]	[2.2973967099940698, 3.2163553939916976, 2.2973967099940698, 2.8284271247461903]	[]
ADENYLYLSULFKIN-RXN	ADENYLYLSULFKIN-CPLX[c]	[114.86983549970348]	[]
ALARACECAT-RXN	CPLX0-8202[c]	[27.6, 87.72325880647342]	[]
ALARACECAT-RXN (reverse)	CPLX0-8202[c]	[28.3, 9.389637701878083]	[]
ALCOHOL-DEHYDROG-RXN	CPLX0-8015[c]	[155.0742779245997]	[]
ALCOHOL-DEHYDROG-RXN (reverse)	CPLX0-8015[c]	[374.4756637290334]	[]
AMINOBUTDEHYDROG-RXN	CPLX0-3641[c]	[17.644006732754455, 12.980291411466496]	[]
AMINOCYL-TRNA-HYDROLASE-RXN	EG10785-MONOMER[c]	[0.7, 6.717837539065013, 7.2, 21.365789402944852]	[]
AMP-DEPHOSPHORYLATION-RXN[CCO-PERI-BAC]-AMP/WATER//ADENOSINE/Pi.38.	APHA-CPLX[p]	[23.0]	[]
ANTHRANSYN-RXN	ANTHRANSYN-CPLX[c]	[317.0407459791816]	[]
ASNSYNA-RXN	ASNSYNB-CPLX[c]	[0.4, 0.5, 0.96, 0.75]	[]
ASNSYNB-RXN	ASNSYNB-CPLX[c]	[0.59, 0.57, 0.8, 1.01, 2.3203706770940107, 2.4122665454937735, 2.527136380993477, 2.3203706770940107, 2.4122665454937735, 2.527136380993477, 2.73, 1.56, 2.18, 0.9, 0.67]	[]
ASPAMINOTRANS-RXN	TYRB-DIMER[c]	[666.2450458982802, 321.6355393991698]	[]
ASPAMINOTRANS-RXN	ASPAMINOTRANS-DIMER[c]	[595.025747888464, 365.2860768890571, 1217.620256296857]	[]
ASPAMINOTRANS-RXN (reverse)	ASPAMINOTRANS-DIMER[c]	[1539.2557956960268]	[]
ASPARAGHYD-RXN[CCO-PERI-BAC]-ASN/WATER//L-ASPARTATE/AMMONIUM.46.	ANSB-CPLX[p]	[71.21929800981616, 55.137521039857674]	[]
ASPARTASE-RXN	ASPARTASE-CPLX[c]	[413.53140779893255]	[]
ASPARTATEKIN-RXN	ASPKINIHOMOSERDEHYDROGI-CPLX[c]	[0.8959847168976872, 113.4]	[]
ASPCARBTRANS-RXN	ASPCARBTRANS-CPLX[c]	[3836.6525056900964]	[]
ATPSYN-RXN	ATPSYN-CPLX[i]	[654.7580623483099]	[]
ATPSYN-RXN (reverse)	ATPSYN-CPLX[i]	[36.758347359905116, 45.947934199881395]	[]
BIOTIN-CARBOXYL-RXN	BIOTIN-CARBOXYL-CPLX[c]	[0.228]	[]
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFER-CPLX[c]	[110.27504207971535]	[]
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	BRANCHED-CHAINAMINOTRANSFER-CPLX[c]	[179.19694337953743]	[]
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	BRANCHED-CHAINAMINOTRANSFER-CPLX[c]	[43.65053748988733]	[]
CARBPSYN-RXN	CARBPSYN-CPLX[c]	[18.379173679952558, 21.595529073944256, 15.622297627959673, 9.281482708376043, 3.2163553939916976, 3.2163553939916976, 11.004530240871594, 4.893454992287368, 4.365053748988732, 0.3905574406989919, 8.27062815597865, 5.054272761986954]	[]
CATAL-RXN	HYDROPEROXIDI-CPLX[c]	[37523.38046433314, 5300.0, 31668.18985854946, 2950.0, 29029.17403700367, 29029.17403700367]	[]
CATAL-RXN	CPLX0-1683[c]	[324.9009585424942]	[]
CHORISMATEMUT-RXN	CHORISMUTPREPHENDEHYDROG-CPLX[c]	[182.0, 43.86162940323671, 43.86162940323671]	[]
CHORISMATEMUT-RXN	CHORISMUTPREPHENDEHYDRAT-CPLX[c]	[41.4, 39.03, 34.2, 39.03, 38.9, 114.86983549970348]	[]
CHORPYRLY-RXN	CHORPYRLY-MONOMER[c]	[0.82, 3.9055744069899183]	[]
CITSYN-RXN	CITRATE-SI-SYNTHASE[c]	[186.08913350951966, 186.08913350951966]	[]
CPM-KDOSYNTH-RXN	CPM-KDOSYNTH-MONOMER[c]	[12.5]	[]
CTPSYN-RXN	CTPSYN-CPLX[c]	[6.1, 6.1, 12.8, 13.7, 6.1]	[]
CYTDEAM-RXN	CPLX0-7932[c]	[425.0183913489029, 425.0183913489029, 165.0, 165.0, 425.0183913489029, 114.13466855250539, 214.43463263804617, 103.38285194973314]	[]
DAHPSYN-RXN	AROG-CPLX[c]	[122.0, 73.51669471981023, 163.11516640957896, 143.12781503263054, 143.12781503263054, 163.11516640957896, 73.51669471981023]	[]
DAHPSYN-RXN	AROF-CPLX[c]	[67.77320294482506]	[]
DAHPSYN-RXN	AROH-CPLX[c]	[47.32637222587784]	[]
DALADALALIG-RXN	DALADALALIGB-CPLX[c]	[38.98682216859936, 11.303191813170823, 14.7]	[]
DALADALALIG-RXN	DALADALALIGA-MONOMER[c]	[17.000735653956117]	[]
DAPASYN-RXN	DAPASYN-CPLX[c]	[0.283, 0.283, 0.029866157229922904, 0.1837917367995256]	[]
DARAB5PISOM-RXN	CPLX0-1262[c]	[157.0, 157.0, 157.0]	[]
DARAB5PISOM-RXN	CPLX0-3929[c]	[218.0, 218.0]	[]
DARAB5PISOM-RXN (reverse)	CPLX0-1262[c]	[255.0, 255.0, 255.0]	[]
DARAB5PISOM-RXN (reverse)	CPLX0-3929[c]	[242.0, 242.0]	[]
DCTP-DEAM-RXN	DCTP-DEAM-CPLX[c]	[1.24]	[]
DCYSDESULF-RXN	DCYSDESULF-CPLX[c]	[72.0]	[]
DEOXYRIBOSE-P-ALD-RXN	DEOXYRIBOSE-P-ALD-MONOMER[c]	[156.22297627959674, 1197.1734255779097]	[]
DGTPTRIPHYDRO-RXN	DGTPTRIPHYDRO-CPLX[c]	[4000.0]	[]
DHBAMPLIG-RXN	ENTE-CPLX[c]	[5.5, 5.83]	[]
DHBDEHYD-RXN	ENTA-CPLX[c]	[92.5]	[]
DIAMINOPIMEPIM-RXN	CPLX0-7997[c]	[303.25636571921723, 192.98132363950185, 192.98132363950185]	[]
DIAMINOPIMEPIM-RXN (reverse)	CPLX0-7997[c]	[153.92557956960266, 153.92557956960266]	[]
DIHYDRODIPICSYN-RXN	DIHYDRODIPICSYN-CPLX[c]	[512.3194663286775, 19.527872034949592, 201.4385942963464, 201.4385942963464, 201.4385942963464, 201.4385942963464, 201.4385942963464, 126.71137383157273, 103.38285194973314, 15.920146968582216]	[]
DIHYDROOROT-RXN	DIHYDROOROT-CPLX[c]	[206.31210867448382]	[]
DIHYDROOROT-RXN (reverse)	DIHYDROOROT-CPLX[c]	[316.7784345789318, 294.19781796022846]	[]
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	CPLX0-7788[c]	[1.0559281152631061]	[]
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN (reverse)	CPLX0-7788[c]	[1.0396830673359814]	[]
DTDPGLUCDEHYDRAT-RXN	DTDPGLUCDEHYDRAT-CPLX[c]	[4.9, 4.9, 4.9]	[]
DUTP-PYROP-RXN	DUTP-PYROP-CPLX[c]	[94.75736455891843, 13.324900917965603, 33.771731636912826, 31.112698372208094, 31.112698372208094, 13.324900917965603]	[]
DUTP-PYROP-RXN	G7164-MONOMER[c]	[22.0]	[]
DXPREDISOM-RXN (reverse)	DXPREDISOM-CPLX[i]	[29.0, 29.0, 33.0]	[]
DXS-RXN	CPLX0-743[c]	[1.8379173679952558, 345.0, 2.6]	[]
ERYTH4PDEHYDROG-RXN	ERYTH4PDEHYDROG-CPLX[c]	[200.0, 169.0, 45.947934199881395]	[]
ERYTHRON4PDEHYDROG-RXN	CPLX0-8212[c]	[3.9597979746446663]	[]
F16ALDOLASE-RXN	FRUCBISALD-CLASSII[c]	[23.73976523747315, 13.32093930024226, 17.057300323480945, 17.057300323480945, 23.019232912735713]	[]
F16ALDOLASE-RXN	FRUCBISALD-CLASSI[c]	[0.5685766774493648]	[]
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.	F16B-CPLX[c]	[23.717769973602074, 56.568542494923804, 67.88225099390857, 14.6]	[]
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.	EG11239-MONOMER[c]	[12.17620256296857, 5.3]	[]
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.	CPLX0-303[c]	[5.7]	[]
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.	CPLX0-7776[c]	[2.5]	[]
FGAMSYN-RXN	FGAMSYN-MONOMER[c]	[0.05]	[]
FORMATEDEHYDROG-RXN-FORMATE/CPD-9728/PROTON//CARBON-DIOXIDE/REDUCED-MENAQUINONE/PROTON.67.	FORMATEDEHYDROGN-CPLX[m]	[915.0835497349348]	[]
FRUCTOKINASE-RXN	EG11288-MONOMER[c]	[32.16355393991698]	[]
FUCPALDOL-RXN	CPLX0-7633[c]	[19.3, 19.3]	[]
FUMHYDR-RXN	FUMARASE-A[c]	[7121.929800981617]	[]
FUMHYDR-RXN	FUMARASE-C[c]	[1367.4105217884705]	[]
FUMHYDR-RXN (reverse)	FUMARASE-C[c]	[7121.929800981617, 2639.7088197831863]	[]
FUMHYDR-RXN (reverse)	FUMARASE-A[c]	[6892.190129982209]	[]
GABATRANSAM-RXN	G6646-MONOMER[c]	[108.8966040537189]	[]
GALACTURIDYLYLTRANS-RXN	GALACTURIDYLYLTRANS-CPLX[c]	[638.6762853783514, 1920.0, 1560.0, 1560.0, 1560.0]	[]
GALACTURIDYLYLTRANS-RXN (reverse)	GALACTURIDYLYLTRANS-CPLX[c]	[638.6762853783514, 566.0, 566.0]	[]
GART-RXN-10-FORMYL-THF/5-PHOSPHO-RIBOSYL-GLYCINEAMIDE//THF/5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE/PROTON.90.	GART-MONOMER[c]	[305.5537624292113]	[]
GARTRANSFORMYL2-RXN	GARTRANSFORMYL2-MONOMER[c]	[86.38211629577702]	[]
GKI-RXN	GKI-MONOMER[c]	[7.0710678118654755]	[]
GLUC1PADENYLTRANS-RXN	GLUC1PADENYLTRANS-CPLX[c]	[370.0]	[]
GLUCARDEHYDRA-RXN	GLUCARDEHYDRA-MONOMER[c]	[56.568542494923804, 98.99494936611666, 98.99494936611666]	[]
GLUCOSE-1-PHOSPHAT-RXN[CCO-CYTOSOL]-GLC-1-P/WATER//ALPHA-GLUCOSE/Pi.45.	EG11850-MONOMER[c]	[3.2163553939916976, 10.2]	[]
GLUCOSE-1-PHOSPHAT-RXN[CCO-CYTOSOL]-GLC-1-P/WATER//GLC/Pi.35.	EG11850-MONOMER[c]	[3.2163553939916976, 10.2]	[]
GLUCOSE-1-PHOSPHAT-RXN[CCO-CYTOSOL]-GLC-1-P/WATER//Glucopyranose/Pi.45.	EG11850-MONOMER[c]	[3.2163553939916976, 10.2]	[]
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//ALPHA-GLUCOSE/Pi.46.	GLUCOSE-1-PHOSPHAT-CPLX[p]	[268.79541506930616, 117.0, 40.0]	[]
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//GLC/Pi.36.	GLUCOSE-1-PHOSPHAT-CPLX[p]	[268.79541506930616, 117.0, 40.0]	[]
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//Glucopyranose/Pi.46.	GLUCOSE-1-PHOSPHAT-CPLX[p]	[268.79541506930616, 117.0, 40.0]	[]
GLUCOSE-6-PHOSPHATASE-RXN	EG11470-MONOMER[c]	[32.16355393991698]	[]
GLUCUROISOM-RXN-CPD-15530//CPD-12537.21.	UXAC-MONOMER[c]	[318.4029393716443]	[]
GLURS-RXN-GLT-tRNAs/GLT/ATP/PROTON//Charged-GLT-tRNAs/AMP/PPI.52.	GLURS-MONOMER[c]	[7.811148813979837, 0.8, 0.6892190129982209, 6.892190129982209]	[]
GLUTAMIN-RXN	CTPSYN-CPLX[c]	[4.98]	[]
GLUTAMIN-RXN	ASNSYNB-CPLX[c]	[3.38, 6.6]	[]
GLUTAMIN-RXN	CARBPSYN-CPLX[c]	[4.5947934199881395, 4.5947934199881395]	[]
GLUTAMIN-RXN	CPLX0-7694[c]	[209.98205929345798]	[]
GLUTAMIN-RXN	CPLX0-7695[i]	[232.03706770940104]	[]
GLUTAMINESYN-RXN	GLUTAMINESYN-OLIGOMER[c]	[82.7062815597865]	[]
GLUTDECARBOX-RXN	GLUTDECARBOXB-CPLX[c]	[24.85]	[]
GLUTDEHYD-RXN	GDHA-CPLX[c]	[85.6928972827788]	[]
GLUTRACE-RXN	GLUTRACE-MONOMER[c]	[27.95931796062783]	[]
GLUTRACE-RXN (reverse)	GLUTRACE-MONOMER[c]	[99.54619944404304]	[]
GLYCEROL-KIN-RXN	GLYCEROL-KIN-CPLX[c]	[444.0867840418537]	[]
GLYCOLALD-DEHYDROG-RXN	ALD-CPLX[c]	[42.1112816941913]	[]
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.	GLYOHMETRANS-CPLX[c]	[24.582144796936543, 11.486983549970349, 37.03870927384434, 18.681805116193416, 0.3525175400186062, 17.333466138242066]	[]
GLYOXII-RXN	CPLX0-3954[c]	[1.02]	[]
GLYOXII-RXN	G6475-MONOMER[c]	[140.14119930963827]	[]
GPH-RXN[CCO-CYTOSOL]-CPD-67/WATER//GLYCOLLATE/Pi.41.	GPH-MONOMER[c]	[215.95529073944255]	[]
GPH-RXN[CCO-PERI-BAC]-CPD-67/WATER//GLYCOLLATE/Pi.42.	GPH-MONOMER[c]	[215.95529073944255]	[]
GSPAMID-RXN	GSP-CPLX[c]	[2.1]	[]
GSPSYN-RXN	GSP-CPLX[c]	[7.0]	[]
GTP-CYCLOHYDRO-II-RXN	GTP-CYCLOHYDRO-II-CPLX[c]	[0.34460950649911043, 0.10396830673359814]	[]
GUANOSINE-DIPHOSPHATASE-RXN	G6580-MONOMER[c]	[3.4]	[]
H2NEOPTERINALDOL-RXN	CPLX0-3936[c]	[0.18838653021951374]	[]
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER[c]	[11.6]	[]
HISTIDPHOS-RXN[CCO-CYTOSOL]-L-HISTIDINOL-P/WATER//HISTIDINOL/Pi.49.	IMIDHISTID-CPLX[c]	[4916.428959387309]	[]
HOLO-ACP-SYNTH-RXN	HOLO-ACP-SYNTH-CPLX[c]	[1.08]	[]
HOMOSERKIN-RXN	HOMOSERKIN-CPLX[c]	[29.728437706638218, 105.68024865972721]	[]
HOMSUCTRAN-RXN	HOMSUCTRAN-CPLX[c]	[55.137521039857674, 59.04309544684759]	[]
IGPSYN-RXN	PRAI-IGPS[c]	[7.2, 10.07192971481732, 8.27062815597865, 2.7568760519928834, 5.054272761986954]	[]
IMP-DEHYDROG-RXN	IMP-DEHYDROG-CPLX[c]	[29.866157229922905]	[]
INOPHOSPHOR-RXN	DEOD-CPLX[c]	[9.189586839976279, 44.93, 6200.0]	[]
INORGPYROPHOSPHAT-RXN[CCO-CYTOSOL]-PPI/WATER//Pi/PROTON.34.	CPLX0-243[c]	[429.613184768891, 893.6873201876931, 895.9847168976872, 895.9847168976872]	[]
ISOCHORSYN-RXN	ENTC-MONOMER[c]	[2.88, 1.417493770066341]	[]
ISOCHORSYN-RXN	MENF-CPLX[c]	[1.33, 3.55]	[]
ISOCHORSYN-RXN (reverse)	ENTC-MONOMER[c]	[1.8]	[]
ISOCITDEH-RXN	ISOCITHASE-CPLX[c]	[86.34242973266784, 71.55943611898435]	[]
KDGALDOL-RXN	CPLX0-7615[c]	[77.216060505571]	[]
KDO-8PSYNTH-RXN	KDO-8PSYNTH-CPLX[c]	[10.338285194973313, 287.1745887492587]	[]
KDPGALDOL-RXN	KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX[c]	[652.001186296317, 190.68392692950778, 211.12126572366307]	[]
KETOGLUTREDUCT-RXN (reverse)	PGLYCDEHYDROG-CPLX[c]	[0.71]	[]
L-ASPARTATE-OXID-RXN	L-ASPARTATE-OXID-MONOMER[c]	[1.2252016654398374, 5.973231445984582, 1.5323636055660446]	[]
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	L-GLN-FRUCT-6-P-AMINOTRANS-CPLX[c]	[14.2]	[]
L-RHAMNONATE-DEHYDRATASE-RXN	CPLX0-7722[c]	[7.351669471981023]	[]
LTAA-RXN	LTAA-CPLX[c]	[10.185645050307192, 7.351669471981023]	[]
LYSDECARBOX-RXN	LYSDECARBOX-CPLX[c]	[295.4746592027799]	[]
LYXK-RXN	LYXK-CPLX[c]	[275.6876051992884, 110.0]	[]
MALATE-DEH-RXN (reverse)	MALATE-DEHASE[c]	[1512.4139620153105]	[]
MALIC-NADP-RXN	MALIC-NADP-CPLX[c]	[108.19201919465056]	[]
MALONYL-COA-ACP-TRANSACYL-RXN	MALONYL-COA-ACP-TRANSACYL-MONOMER[c]	[3629.88680179063, 0.0010797764536972128]	[]
MANNPDEHYDROG-RXN	MANNPDEHYDROG-MONOMER[c]	[436.50537489887324]	[]
MANNPDEHYDROG-RXN (reverse)	MANNPDEHYDROG-MONOMER[c]	[551.3752103985768]	[]
METBALT-RXN	O-SUCCHOMOSERLYASE-CPLX[c]	[4.135314077989325]	[]
METHGLYSYN-RXN	METHGLYSYN-CPLX[c]	[744.3565340380786, 505.4272761986953]	[]
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN-10-FORMYL-THF/L-methionyl-tRNAfmet//THF/N-formyl-L-methionyl-tRNAfmet/PROTON.77.	EG11268-MONOMER[c]	[45.947934199881395, 45.947934199881395, 41.52]	[]
METHYLMALONYL-COA-MUT-RXN (reverse)	CPLX0-7741[c]	[0.2]	[]
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	CPLX0-1541[c]	[8.485281374238571, 9.189586839976279, 1.1257243878970942]	[]
MHPCHYDROL-RXN	CPLX0-7950[c]	[82.7062815597865]	[]
MHPELY-RXN (reverse)	MHPELY-MONOMER[c]	[471.88528423278194]	[]
MMUM-RXN	MMUM-MONOMER[c]	[0.617311821230739]	[]
NACGLCTRANS-RXN	NACGLCTRANS-MONOMER[m]	[32.04868410441727, 0.72, 0.6202971116983989, 0.93]	[]
NAD-KIN-RXN	CPLX0-682[c]	[125.0, 55.0]	[]
NADH-DEHYDROG-A-RXN-NADH/UBIQUINONE-8/PROTON//NAD/CPD-9956/PROTON.46.	NADH-DHI-CPLX[m]	[42.23712461052425]	[]
NAG1P-URIDYLTRANS-RXN	NAG1P-URIDYLTRANS-CPLX[c]	[12.4, 101.77467425273728, 330.0]	[]
NMNAMIDOHYDRO-RXN	CPLXECOLI-7943[c]	[3.3, 4.1]	[]
O-SUCCHOMOSERLYASE-RXN	O-SUCCHOMOSERLYASE-CPLX[c]	[26.810619605630794, 277.98500190928246, 4.135314077989325]	[]
OHMETPYRKIN-RXN	PDXK-CPLX[c]	[0.9878805852974499]	[]
OHMETPYRKIN-RXN	HMP-P-KIN-CPLX[c]	[0.19757611705949]	[]
OROTPDECARB-RXN	OROTPDECARB-CPLX[c]	[64.32710787983396]	[]
OXALYL-COA-DECARBOXYLASE-RXN	CPLX0-7878[c]	[98.607440917647]	[]
PABASYN-RXN	PABASYN-CPLX[c]	[1.5392557956960269]	[]
PANTOATE-BETA-ALANINE-LIG-RXN	PANTOATE-BETA-ALANINE-LIG-CPLX[c]	[3.2163553939916976]	[]
PANTOTHENATE-KIN-RXN	PANTOTHENATE-KIN-CPLX[c]	[3.7038709273844335]	[]
PGLYCDEHYDROG-RXN	PGLYCDEHYDROG-CPLX[c]	[0.55]	[]
PGLYCDEHYDROG-RXN (reverse)	PGLYCDEHYDROG-CPLX[c]	[27.8]	[]
PHENDEHYD-RXN	PHENDEHYD-CPLX[c]	[222.45692342872576]	[]
PHOSACETYLTRANS-RXN	PHOSACETYLTRANS-CPLX[c]	[48.08534186428914, 48.08534186428914]	[]
PHOSACETYLTRANS-RXN	CPLX0-7912[c]	[194.61567416695402]	[]
PHOSACETYLTRANS-RXN (reverse)	PHOSACETYLTRANS-CPLX[c]	[369.7372908213584, 369.7372908213584]	[]
PHOSACETYLTRANS-RXN (reverse)	CPLX0-7912[c]	[674.9817413720317]	[]
PMPOXI-RXN	PDXH-CPLX[c]	[19.79898987322333, 1.72]	[]
PNKIN-RXN	PDXK-CPLX[c]	[0.33, 0.8270628155978651]	[]
PNPOXI-RXN	PDXH-CPLX[c]	[0.76, 0.3, 0.13, 0.13]	[]
PPPGPPHYDRO-RXN	PPPGPPHYDRO-CPLX[c]	[0.023]	[]
PRAISOM-RXN	PRAI-IGPS[c]	[89.36873201876931, 91.89586839976279, 126.71137383157273, 91.89586839976279, 91.89586839976279]	[]
PREPHENATEDEHYDRAT-RXN	CHORISMUTPREPHENDEHYDRAT-CPLX[c]	[26.15, 32.2, 26.15]	[]
PREPHENATEDEHYDROG-RXN	CHORISMUTPREPHENDEHYDROG-CPLX[c]	[135.0, 43.86162940323671, 43.86162940323671]	[]
PRIBFAICARPISOM-RXN	PRIBFAICARPISOM-MONOMER[c]	[14.3]	[]
PSERTRANSAM-RXN	PSERTRANSAM-CPLX[c]	[0.39]	[]
PSERTRANSAM-RXN (reverse)	PSERTRANSAM-CPLX[c]	[1.75]	[]
PSERTRANSAMPYR-RXN	PSERTRANSAM-CPLX[c]	[0.15]	[]
